Selected Places
Nol Kilometer Jl.Malioboro
Alun Alun Selatan Yogyakarta
Tugu Pal Putih Jogja
Bukit Lintang Sewu
Bendung Lepen
Air Terjun Kedung Pedut
Puncak Gunung Api Purba - Nglanggeran
Watu Mabur Mangunan
Geoforest Watu Payung Turunan
Alun-alun Utara Keraton Yogyakarta
Candi Ijo
Monumen Sanapati
Pantai Indrayanti
Pantai Nglambor
Pantai Parangtritis
Pantai Sundak
Pantai Krakal
Candi Ijo
Pasar Beringharjo
Sindu Kusuma Edupark (SKE)
Hutan Pinus Pengger
Bentara Budaya Yogyakarta (BBY)
Desa Wisata Pulesari
Candi Prambanan
Candi Borobudur
Kawasan Malioboro
Pantai Patihan
Pantai Kukup
Hutan Mangrove Kulon Progo
Pantai Nguluran
Pantai Samas
Gembira Loka Zoo
Kampung Wisata Kadipaten
Tebing Breksi
Embung Tambakboyo
The Lost World Castle
Monumen Sanapati
Green Village Gedangsari
Pantai Depok Jogja
Puncak Segoro
Taman Pelangi Jogja
Galaxy Waterpark Jogja
Bukit Wisata Pulepayung
Hutan Pinus Asri
Kebun Teh Nglinggo
Goa Pindul
Wisata Kalibiru
Pantai Glagah
Pantai Drini
Pantai Wediombo
Pantai Jogan
Pantai Ngrenehan
Desa Wisata Sungai Code Jogja Kota
Kawasan Malioboro
Kauman Pakualaman Yogyakarta
Kampung Wisata Taman Sari
Monumen Serangan Umum 1 Maret
Puncak Kebun Buah Mangunan
Seribu Batu Songgo Langit
"Bukit Paralayang, Watugupit"
Jurang Tembelan Kanigoro
Lava Bantal
Watu Goyang
Watu Lumbung
De Mata Museum Jogja
Kampung Wisata Kadipaten
Tebing Breksi
Bentara Budaya Yogyakarta (BBY)
Watu Lumbung
Bunker Kaliadem Merapi
Goa Rancang Kencono
Pintoe Langit Dahromo
Wisata Kaliurang
Sindu Kusuma Edupark (SKE)
Taman Pelangi Yogyakarta
The Lost World Castle
The World Landmarks - Merapi Park Yogyakarta
Pasar Beringharjo
Pasar Kebon Empring Bintaran
Kawasan Wisata Sosrowijayan
Candi Gedong Songo
Lawang Sewu
Sam Poo Kong Temple
Grand Maerakaca
Kampung Pelangi
Desa Wisata Lembah Kalipancur
Taman Kasmaran
Pantai Baruna
Pantai Marina
 Pantai Cipta
Indonesia Kaya Park
Taman Pandanaran
Taman Srigunting
Jembatan Biru Ambarawa
Masjid Agung Ungaran
Tugu Muda Semarang
Taman Tabanas
Kampung Tematik Jawi
Air Terjun Semirang
Obyek Wisata Goa Kreo
Watu Gunung Ungaran
Brown Canyon
Durian Gardens and Tourism Education Watu Simbar
Saloka Theme Park
Water Blaster Bukit Candi Golf
Kampoeng Kopi Banaran
Water Blaster Bukit Candi Golf
Kampung Batik Gedong Semarang
Semarang Gallery
Flower Farm Setiya Aji
Waduk Jatibarang
Wisata Lereng Kelir
Kampoeng Rawa
Wisata Eling Bening
Gua Maria Kerep Ambarawa
Kampoeng Djadhoel Semarang
Pura Giri Natha
Old City 3D Trick Art Museum
Semarang Contemporary Art Gallery
Wisata Lereng Kelir
Monumen Palagan Ambarawa
Benteng Pendem
Museum Kereta Ambarawa
Hutan Pinus Kayon
GPIB Immanuel Semarang (Gereja Blenduk)
Masjid Kapal Semarang
Masjid Agung Ungaran
Monumen Palagan Ambarawa
Benteng Pendem
Museum Kereta Ambarawa
Kota Lama Semarang
Semarang Chinatown
Kampung Pelangi
Hutan Wisata Tinjomoyo Semarang
Taman Kasmaran
Wisata Mangrove Tapak
Umbul Sidomukti
Wisata Alam Wana Wisata Penggaron
Candi Gedong Songo
Grand Maerakaca
Lawang Sewu
Tirto Argo Siwarak
Wisata Eling Bening
Semarang Chinatown
La Kana Chapel
Pantai Baruna
Pantai Marina
Wisata Mangrove Tapak
Pantai Cipta
Waduk Jatibarang
Kampoeng Rawa
Gua Maria Kerep Ambarawa
Kota Lama Semarang
Desa Wisata Lembah Kalipancur
Masjid Kapal Semarang
Kota Lama Semarang
Brown Canyon
