Selected Places
Candi Gedong Songo
Lawang Sewu
Sam Poo Kong Temple
Grand Maerakaca
Kampung Pelangi
Desa Wisata Lembah Kalipancur
Taman Kasmaran
Pantai Baruna
Pantai Marina
 Pantai Cipta
Indonesia Kaya Park
Taman Pandanaran
Taman Srigunting
Jembatan Biru Ambarawa
Masjid Agung Ungaran
Tugu Muda Semarang
Taman Tabanas
Kampung Tematik Jawi
Air Terjun Semirang
Obyek Wisata Goa Kreo
Watu Gunung Ungaran
Brown Canyon
Durian Gardens and Tourism Education Watu Simbar
Saloka Theme Park
Water Blaster Bukit Candi Golf
Kampoeng Kopi Banaran
Water Blaster Bukit Candi Golf
Kampung Batik Gedong Semarang
Semarang Gallery
Flower Farm Setiya Aji
Waduk Jatibarang
Wisata Lereng Kelir
Kampoeng Rawa
Wisata Eling Bening
Gua Maria Kerep Ambarawa
Kampoeng Djadhoel Semarang
Pura Giri Natha
Old City 3D Trick Art Museum
Semarang Contemporary Art Gallery
Wisata Lereng Kelir
Monumen Palagan Ambarawa
Benteng Pendem
Museum Kereta Ambarawa
Hutan Pinus Kayon
GPIB Immanuel Semarang (Gereja Blenduk)
Masjid Kapal Semarang
Masjid Agung Ungaran
Monumen Palagan Ambarawa
Benteng Pendem
Museum Kereta Ambarawa
Kota Lama Semarang
Semarang Chinatown
Kampung Pelangi
Hutan Wisata Tinjomoyo Semarang
Taman Kasmaran
Wisata Mangrove Tapak
Umbul Sidomukti
Wisata Alam Wana Wisata Penggaron
Candi Gedong Songo
Grand Maerakaca
Lawang Sewu
Tirto Argo Siwarak
Wisata Eling Bening
Semarang Chinatown
La Kana Chapel
Pantai Baruna
Pantai Marina
Wisata Mangrove Tapak
Pantai Cipta
Waduk Jatibarang
Kampoeng Rawa
Gua Maria Kerep Ambarawa
Kota Lama Semarang
Desa Wisata Lembah Kalipancur
Masjid Kapal Semarang
Kota Lama Semarang
Brown Canyon
